species,gene,source,protein_accession,best_query,chromosome
Eira_barbara,NR1D2,miniprot,,Acinonyx_jubatus__NR1D2__XP_026896752.1,JAHRIH010000095.1
Equus_caballus,NR1D2,refseq,XP_023476620.1,,
Giraffa_tippelskirchi,NR1D2,miniprot,,Bos_taurus__NR1D2__NP_001276722.1,CM136058.1
Gorilla_gorilla_gorilla,NR1D2,refseq,XP_004033775.1,,
Homo_sapiens,NR1D2,refseq,NP_005117.3,,
Hyaena_hyaena,NR1D2,refseq,XP_039110510.1,,
Hylobates_pileatus,NR1D2,miniprot,,Gorilla_gorilla_gorilla__NR1D2__XP_004033775.1,CM038523.1
Ictidomys_tridecemlineatus,NR1D2,refseq,XP_077894421.1,,
Jaculus_jaculus,NR1D2,refseq,XP_044991757.1,,
Lagorchestes_hirsutus,NR1D2,miniprot,,Macrotis_lagotis__NR1D2__XP_074051804.1,CM052675.1
Leopardus_geoffroyi,NR1D2,refseq,XP_045292264.1,,
Macrotis_lagotis,NR1D2,refseq,XP_074051804.1,,
Martes_flavigula,NR1D2,miniprot,,Acinonyx_jubatus__NR1D2__XP_026896752.1,CM081905.1
Microcebus_murinus,NR1D2,refseq,XP_012600788.1,,
Mirza_zaza,NR1D2,miniprot,,Microcebus_murinus__NR1D2__XP_012600788.1,CAUYML010106037.1
Myrmecobius_fasciatus,NR1D2,miniprot,,Sarcophilus_harrisii__NR1D2__XP_031796215.1,JAJPUD010001820.1
Nanger_dama,NR1D2,miniprot,,Bos_taurus__NR1D2__NP_001276722.1,CAKJTW010000021.1
Nasua_narica,NR1D2,miniprot,,Equus_caballus__NR1D2__XP_023476620.1,CM052799.1
Nycticebus_coucang,NR1D2,refseq,XP_053455524.1,,
Ochotona_princeps,NR1D2,refseq,XP_058513031.1,,
Octodon_degus,NR1D2,refseq,XP_004649121.3,,
Orycteropus_afer,NR1D2,refseq,XP_007934640.1,,
Paguma_larvata,NR1D2,miniprot,,Acinonyx_jubatus__NR1D2__XP_026896752.1,CM057824.1
Pan_troglodytes,NR1D2,refseq,XP_516330.2,,
Panthera_pardus,NR1D2,refseq,XP_019278481.2,,
Peromyscus_eremicus,NR1D2,refseq,XP_059130160.1,,
Phacochoerus_africanus,NR1D2,refseq,XP_047625115.1,,
Phalanger_gymnotis,NR1D2,miniprot,,Sarcophilus_harrisii__NR1D2__XP_031796215.1,CM053623.1
Pipistrellus_pipistrellus,NR1D2,miniprot,,Equus_caballus__NR1D2__XP_023476620.1,CBDBGO020000015.1
Plecturocebus_cupreus,NR1D2,miniprot,,Gorilla_gorilla_gorilla__NR1D2__XP_004033775.1,CM080835.1
Pseudocheirus_occidentalis,NR1D2,miniprot,,Macrotis_lagotis__NR1D2__XP_074051804.1,CM053597.1
Puma_concolor,NR1D2,refseq,XP_025769601.1,,
Rattus_norvegicus,NR1D2,refseq,NP_671743.2,,
Rhynchocyon_petersi,NR1D2,refseq,KAM6222179.1,,
Saccopteryx_bilineata,NR1D2,refseq,XP_066100506.1,,
Sarcophilus_harrisii,NR1D2,refseq,XP_031796215.1,,
Sciurus_vulgaris,NR1D2,refseq,XP_078970405.1,,
Speothos_venaticus,NR1D2,miniprot,,Acinonyx_jubatus__NR1D2__XP_026896752.1,BLYH01046101.1
Suricata_suricatta,NR1D2,refseq,XP_029796219.1,,
Sylvilagus_floridanus,NR1D2,miniprot,,Sciurus_vulgaris__NR1D2__XP_078970405.1,OX463244.1
Tapirus_terrestris,NR1D2,miniprot,,Equus_caballus__NR1D2__XP_023476620.1,CM142108.1
Tragelaphus_eurycerus,NR1D2,miniprot,,Bos_taurus__NR1D2__NP_001276722.1,CM080740.1
Uromys_caudimaculatus,NR1D2,miniprot,,Rattus_norvegicus__NR1D2__NP_671743.2,CM052708.1
Vicugna_pacos,NR1D2,refseq,XP_072805592.1,,
Xerus_rutilus,NR1D2,miniprot,,Equus_caballus__NR1D2__XP_023476620.1,CM053413.1
Acinonyx_jubatus,PER1,refseq,XP_053068804.1,,
Acomys_cahirinus,PER1,miniprot,,Peromyscus_eremicus__PER1__XP_059126938.1,JAULSH010000014.1
Aepyceros_melampus,PER1,miniprot,,Bos_taurus__PER1__NP_001276701.1,SJXQ01003479.1
Aotus_nancymaae,PER1,refseq,XP_064234405.1,,
Arvicanthis_niloticus,PER1,refseq,XP_076792664.1,,
Bos_taurus,PER1,refseq,NP_001276701.1,,
Callithrix_jacchus,PER1,refseq,XP_035155863.1,,
Camelus_bactrianus,PER1,refseq,XP_010964246.2,,
Caracal_caracal,PER1,miniprot,,Acinonyx_jubatus__PER1__XP_053068804.1,JACGTZ010000088.1
Cebus_imitator,PER1,refseq,XP_037595544.1,,
Choloepus_hoffmanni,PER1,miniprot,,Acinonyx_jubatus__PER1__XP_053068804.1,KN194097.1
Cynocephalus_volans,PER1,refseq,XP_062965508.1,,
Cynomys_ludovicianus,PER1,miniprot,,Ictidomys_tridecemlineatus__PER1__XP_013217209.1,JACVBZ010000708.1
Dasypus_novemcinctus,PER1,refseq,XP_071066424.1,,
Daubentonia_madagascariensis,PER1,miniprot,,Acinonyx_jubatus__PER1__XP_053068804.1,JBFSEQ010000011.1
Eira_barbara,PER1,miniprot,,Acinonyx_jubatus__PER1__XP_053068804.1,JAHRIH010000129.1
Equus_caballus,PER1,refseq,XP_001503235.4,,
Giraffa_tippelskirchi,PER1,miniprot,,Bos_taurus__PER1__NP_001276701.1,CM136053.1
Gorilla_gorilla_gorilla,PER1,refseq,XP_004058589.4,,
Homo_sapiens,PER1,refseq,NP_002607.2,,
Hyaena_hyaena,PER1,refseq,XP_039087430.1,,
Hylobates_pileatus,PER1,miniprot,,Pan_troglodytes__PER1__XP_016787953.2,CM038525.1
Ictidomys_tridecemlineatus,PER1,refseq,XP_013217209.1,,
Jaculus_jaculus,PER1,refseq,XP_044986900.1,,
Lagorchestes_hirsutus,PER1,miniprot,,Macrotis_lagotis__PER1__XP_074081659.1,CM052671.1
Leopardus_geoffroyi,PER1,refseq,XP_045346262.1,,
Macrotis_lagotis,PER1,refseq,XP_074081659.1,,
Martes_flavigula,PER1,miniprot,,Acinonyx_jubatus__PER1__XP_053068804.1,CM081915.1
Microcebus_murinus,PER1,refseq,XP_075850270.1,,
Mirza_zaza,PER1,miniprot,,Microcebus_murinus__PER1__XP_075850270.1,CAUYML010055929.1
Myrmecobius_fasciatus,PER1,miniprot,,Sarcophilus_harrisii__PER1__XP_012404166.1,JAJPUD010012307.1
Nanger_dama,PER1,miniprot,,Bos_taurus__PER1__NP_001276701.1,CAKJTW010000039.1
Nasua_narica,PER1,miniprot,,Acinonyx_jubatus__PER1__XP_053068804.1,CM052804.1
Nycticebus_coucang,PER1,refseq,XP_053423819.1,,
Ochotona_princeps,PER1,refseq,XP_004594821.2,,
Octodon_degus,PER1,refseq,XP_004638500.2,,
Orycteropus_afer,PER1,refseq,XP_007950428.1,,
Paguma_larvata,PER1,miniprot,,Acinonyx_jubatus__PER1__XP_053068804.1,CM057843.1
Pan_troglodytes,PER1,refseq,XP_016787953.2,,
Panthera_pardus,PER1,refseq,XP_053748319.1,,
Peromyscus_eremicus,PER1,refseq,XP_059126938.1,,
Phacochoerus_africanus,PER1,refseq,XP_047614461.1,,
Phalanger_gymnotis,PER1,miniprot,,Macrotis_lagotis__PER1__XP_074081659.1,CM053627.1
Pipistrellus_pipistrellus,PER1,miniprot,,Acinonyx_jubatus__PER1__XP_053068804.1,CBDBGO020000017.1
Plecturocebus_cupreus,PER1,miniprot,,Aotus_nancymaae__PER1__XP_064234405.1,CM080831.1
Pseudocheirus_occidentalis,PER1,miniprot,,Macrotis_lagotis__PER1__XP_074081659.1,CM053593.1
Puma_concolor,PER1,refseq,XP_025776083.1,,
Rattus_norvegicus,PER1,refseq,NP_001029297.1,,
Rhynchocyon_petersi,PER1,refseq,KAM6163424.1,,
Saccopteryx_bilineata,PER1,refseq,XP_066120296.1,,
Sarcophilus_harrisii,PER1,refseq,XP_012404166.1,,
Sciurus_vulgaris,PER1,refseq,XP_078989359.1,,
Speothos_venaticus,PER1,miniprot,,Acinonyx_jubatus__PER1__XP_053068804.1,BLYH01046592.1
Suricata_suricatta,PER1,refseq,XP_029783618.1,,
Sylvilagus_floridanus,PER1,miniprot,,Acinonyx_jubatus__PER1__XP_053068804.1,OX463237.1
Tapirus_terrestris,PER1,miniprot,,Acinonyx_jubatus__PER1__XP_053068804.1,CM142119.1
Tragelaphus_eurycerus,PER1,miniprot,,Bos_taurus__PER1__NP_001276701.1,CM080735.1
Uromys_caudimaculatus,PER1,miniprot,,Rattus_norvegicus__PER1__NP_001029297.1,CM052710.1
Vicugna_pacos,PER1,refseq,XP_072796774.1,,
Xerus_rutilus,PER1,miniprot,,Sciurus_vulgaris__PER1__XP_078989359.1,CM053402.1
Acinonyx_jubatus,PER2,refseq,XP_026902097.2,,
Acomys_cahirinus,PER2,miniprot,,Arvicanthis_niloticus__PER2__XP_076770882.1,JAULSH010000002.1
Aepyceros_melampus,PER2,miniprot,,Bos_taurus__PER2__NP_001179246.1,SJXQ01009516.1
Aotus_nancymaae,PER2,refseq,XP_012328903.2,,
Arvicanthis_niloticus,PER2,refseq,XP_076770882.1,,
Bos_taurus,PER2,refseq,NP_001179246.1,,
Callithrix_jacchus,PER2,refseq,XP_035162102.1,,
Camelus_bactrianus,PER2,refseq,XP_074220722.1,,
Caracal_caracal,PER2,miniprot,,Acinonyx_jubatus__PER2__XP_026902097.2,JACGTZ010000099.1
Cebus_imitator,PER2,refseq,XP_037597703.1,,
Choloepus_hoffmanni,PER2,miniprot,,Dasypus_novemcinctus__PER2__XP_058155772.1,KN194042.1
Cynocephalus_volans,PER2,refseq,XP_062947646.1,,
Cynomys_ludovicianus,PER2,miniprot,,Ictidomys_tridecemlineatus__PER2__XP_013214621.2,JACVBZ010002697.1
Dasypus_novemcinctus,PER2,refseq,XP_058155772.1,,
Daubentonia_madagascariensis,PER2,miniprot,,Nycticebus_coucang__PER2__XP_053452493.1,JBFSEQ010000006.1
Eira_barbara,PER2,miniprot,,Acinonyx_jubatus__PER2__XP_026902097.2,JAHRIH010000013.1
Equus_caballus,PER2,refseq,XP_023498478.2,,
Giraffa_tippelskirchi,PER2,miniprot,,Bos_taurus__PER2__NP_001179246.1,CM136055.1
Gorilla_gorilla_gorilla,PER2,refseq,XP_055235863.1,,
Homo_sapiens,PER2,refseq,NP_073728.1,,
Hyaena_hyaena,PER2,refseq,XP_039084552.1,,
Hylobates_pileatus,PER2,miniprot,,Aotus_nancymaae__PER2__XP_012328903.2,CM038516.1
Ictidomys_tridecemlineatus,PER2,refseq,XP_013214621.2,,
Jaculus_jaculus,PER2,refseq,XP_004673026.2,,
Lagorchestes_hirsutus,PER2,miniprot,,Macrotis_lagotis__PER2__XP_074045776.1,CM052671.1
Leopardus_geoffroyi,PER2,refseq,XP_045337895.1,,
Macrotis_lagotis,PER2,refseq,XP_074045776.1,,
Martes_flavigula,PER2,miniprot,,Acinonyx_jubatus__PER2__XP_026902097.2,CM081906.1
Microcebus_murinus,PER2,refseq,XP_075862223.1,,
Mirza_zaza,PER2,miniprot,,Microcebus_murinus__PER2__XP_075862223.1,CAUYML010036974.1
Myrmecobius_fasciatus,PER2,miniprot,,Sarcophilus_harrisii__PER2__XP_031824023.1,JAJPUD010009811.1
Nanger_dama,PER2,miniprot,,Bos_taurus__PER2__NP_001179246.1,CAKJTW010000118.1
Nasua_narica,PER2,miniprot,,Acinonyx_jubatus__PER2__XP_026902097.2,CM052810.1
Nycticebus_coucang,PER2,refseq,XP_053452493.1,,
Ochotona_princeps,PER2,refseq,XP_058521180.1,,
Octodon_degus,PER2,refseq,XP_023577845.1,,
Orycteropus_afer,PER2,refseq,XP_007941723.2,,
Paguma_larvata,PER2,miniprot,,Acinonyx_jubatus__PER2__XP_026902097.2,CM057825.1
Pan_troglodytes,PER2,refseq,XP_016806317.1,,
Panthera_pardus,PER2,refseq,XP_019300912.2,,
Peromyscus_eremicus,PER2,refseq,XP_059134489.1,,
Phacochoerus_africanus,PER2,refseq,XP_047629888.1,,
Phalanger_gymnotis,PER2,miniprot,,Macrotis_lagotis__PER2__XP_074045776.1,CM053627.1
Pipistrellus_pipistrellus,PER2,miniprot,,Saccopteryx_bilineata__PER2__XP_066136887.1,CBDBGO020000009.1
Plecturocebus_cupreus,PER2,miniprot,,Aotus_nancymaae__PER2__XP_012328903.2,CM080816.1
Pseudocheirus_occidentalis,PER2,miniprot,,Sarcophilus_harrisii__PER2__XP_031824023.1,CM053593.1
Puma_concolor,PER2,refseq,XP_025786423.1,,
Rattus_norvegicus,PER2,refseq,NP_113866.1,,
Rhynchocyon_petersi,PER2,refseq,KAM6178457.1,,
Saccopteryx_bilineata,PER2,refseq,XP_066136887.1,,
Sarcophilus_harrisii,PER2,refseq,XP_031824023.1,,
Sciurus_vulgaris,PER2,refseq,XP_078989141.1,,
Speothos_venaticus,PER2,miniprot,,Acinonyx_jubatus__PER2__XP_026902097.2,BLYH01042251.1
Suricata_suricatta,PER2,refseq,XP_029789396.1,,
Sylvilagus_floridanus,PER2,miniprot,,Aotus_nancymaae__PER2__XP_012328903.2,OX463236.1
Tapirus_terrestris,PER2,miniprot,,Equus_caballus__PER2__XP_023498478.2,CM142142.1
Tragelaphus_eurycerus,PER2,miniprot,,Bos_taurus__PER2__NP_001179246.1,CM080730.1
Uromys_caudimaculatus,PER2,miniprot,,Arvicanthis_niloticus__PER2__XP_076770882.1,CM052709.1
Vicugna_pacos,PER2,refseq,XP_072818053.1,,
Xerus_rutilus,PER2,miniprot,,Ictidomys_tridecemlineatus__PER2__XP_013214621.2,CM053402.1
Acinonyx_jubatus,PER3,refseq,XP_053072087.1,,
Acomys_cahirinus,PER3,miniprot,,Arvicanthis_niloticus__PER3__XP_034357814.1,JAULSH010000015.1
Aepyceros_melampus,PER3,miniprot,,Bos_taurus__PER3__XP_059731607.1,SJXQ01012641.1
Aotus_nancymaae,PER3,refseq,XP_064219266.1,,
Arvicanthis_niloticus,PER3,refseq,XP_034357814.1,,
Bos_taurus,PER3,refseq,XP_059731607.1,,
Callithrix_jacchus,PER3,refseq,XP_054092864.2,,
Camelus_bactrianus,PER3,refseq,XP_074232075.1,,
Caracal_caracal,PER3,miniprot,,Acinonyx_jubatus__PER3__XP_053072087.1,JACGTZ010000077.1
Cebus_imitator,PER3,refseq,XP_017353870.1,,
Choloepus_hoffmanni,PER3,miniprot,,Dasypus_novemcinctus__PER3__XP_058160719.1,KN196438.1
Cynocephalus_volans,PER3,refseq,XP_062961763.1,,
Cynomys_ludovicianus,PER3,miniprot,,Ictidomys_tridecemlineatus__PER3__XP_077881311.1,JACVBZ010000461.1
Dasypus_novemcinctus,PER3,refseq,XP_058160719.1,,
Daubentonia_madagascariensis,PER3,miniprot,,Microcebus_murinus__PER3__XP_075849795.1,JBFSEQ010000007.1
Eira_barbara,PER3,miniprot,,Equus_caballus__PER3__XP_005607612.3,JAHRIH010000041.1
Equus_caballus,PER3,refseq,XP_005607612.3,,
Giraffa_tippelskirchi,PER3,miniprot,,Bos_taurus__PER3__XP_059731607.1,CM136055.1
Gorilla_gorilla_gorilla,PER3,refseq,XP_063559119.1,,
Homo_sapiens,PER3,refseq,NP_001364204.1,,
Hyaena_hyaena,PER3,refseq,XP_039090892.1,,
Hylobates_pileatus,PER3,miniprot,,Pan_troglodytes__PER3__XP_016808835.2,CM038524.1
Ictidomys_tridecemlineatus,PER3,refseq,XP_077881311.1,,
Jaculus_jaculus,PER3,refseq,XP_045005244.1,,
Lagorchestes_hirsutus,PER3,miniprot,,Macrotis_lagotis__PER3__XP_074074662.1,CM052674.1
Leopardus_geoffroyi,PER3,refseq,XP_045331485.1,,
Macrotis_lagotis,PER3,refseq,XP_074074662.1,,
Martes_flavigula,PER3,miniprot,,Equus_caballus__PER3__XP_005607612.3,CM081907.1
Microcebus_murinus,PER3,refseq,XP_075849795.1,,
Myrmecobius_fasciatus,PER3,miniprot,,Sarcophilus_harrisii__PER3__XP_031818800.1,JAJPUD010003545.1
Nanger_dama,PER3,miniprot,,Bos_taurus__PER3__XP_059731607.1,CAKJTW010000013.1
Nasua_narica,PER3,miniprot,,Equus_caballus__PER3__XP_005607612.3,CM052798.1
Nycticebus_coucang,PER3,refseq,XP_053431024.1,,
Octodon_degus,PER3,refseq,XP_023555260.1,,
Orycteropus_afer,PER3,refseq,XP_042637114.1,,
Paguma_larvata,PER3,miniprot,,Acinonyx_jubatus__PER3__XP_053072087.1,CM057833.1
Pan_troglodytes,PER3,refseq,XP_016808835.2,,
Panthera_pardus,PER3,refseq,XP_053755000.1,,
Peromyscus_eremicus,PER3,refseq,XP_059111427.1,,
Phacochoerus_africanus,PER3,refseq,XP_047647456.1,,
Phalanger_gymnotis,PER3,miniprot,,Macrotis_lagotis__PER3__XP_074074662.1,CM053622.1
Pipistrellus_pipistrellus,PER3,miniprot,,Saccopteryx_bilineata__PER3__XP_066126650.1,CBDBGO020000002.1
Plecturocebus_cupreus,PER3,miniprot,,Callithrix_jacchus__PER3__XP_054092864.2,CM080827.1
Pseudocheirus_occidentalis,PER3,miniprot,,Macrotis_lagotis__PER3__XP_074074662.1,CM053596.1
Puma_concolor,PER3,refseq,XP_025768383.1,,
Rattus_norvegicus,PER3,refseq,NP_076468.2,,
Rhynchocyon_petersi,PER3,refseq,KAM6216893.1,,
Saccopteryx_bilineata,PER3,refseq,XP_066126650.1,,
Sarcophilus_harrisii,PER3,refseq,XP_031818800.1,,
Sciurus_vulgaris,PER3,refseq,XP_078989944.1,,
Speothos_venaticus,PER3,miniprot,,Equus_caballus__PER3__XP_005607612.3,BLYH01037350.1
Sylvilagus_floridanus,PER3,miniprot,,Sarcophilus_harrisii__PER3__XP_031818800.1,OX463237.1
Tapirus_terrestris,PER3,miniprot,,Equus_caballus__PER3__XP_005607612.3,CM142126.1
Tragelaphus_eurycerus,PER3,miniprot,,Bos_taurus__PER3__XP_059731607.1,CM080739.1
Uromys_caudimaculatus,PER3,miniprot,,Arvicanthis_niloticus__PER3__XP_034357814.1,CM052702.1
Xerus_rutilus,PER3,miniprot,,Ictidomys_tridecemlineatus__PER3__XP_077881311.1,CM053400.1
Acinonyx_jubatus,RORA,refseq,XP_053079915.1,,
Acomys_cahirinus,RORA,miniprot,,Puma_concolor__RORA__XP_025774987.1,JAULSH010000008.1
Aepyceros_melampus,RORA,miniprot,,Puma_concolor__RORA__XP_025774987.1,SJXQ01000433.1
Aotus_nancymaae,RORA,refseq,XP_064217436.1,,
Arvicanthis_niloticus,RORA,refseq,XP_076782288.1,,
Bos_taurus,RORA,refseq,NP_001179790.1,,
Callithrix_jacchus,RORA,refseq,XP_035117665.1,,
Camelus_bactrianus,RORA,refseq,XP_074222324.1,,
Caracal_caracal,RORA,miniprot,,Puma_concolor__RORA__XP_025774987.1,JACGTZ010000015.1
Cebus_imitator,RORA,refseq,XP_017373793.1,,
Choloepus_hoffmanni,RORA,miniprot,,Puma_concolor__RORA__XP_025774987.1,KN189662.1
Cynocephalus_volans,RORA,refseq,XP_062945848.1,,
Cynomys_ludovicianus,RORA,miniprot,,Puma_concolor__RORA__XP_025774987.1,JACVBZ010001214.1
Dasypus_novemcinctus,RORA,refseq,XP_071070328.1,,
Daubentonia_madagascariensis,RORA,miniprot,,Gorilla_gorilla_gorilla__RORA__XP_055219135.1,JBFSEQ010000002.1
Eira_barbara,RORA,miniprot,,Gorilla_gorilla_gorilla__RORA__XP_055219135.1,JAHRIH010000080.1
Equus_caballus,RORA,refseq,XP_023483763.2,,
Giraffa_tippelskirchi,RORA,miniprot,,Gorilla_gorilla_gorilla__RORA__XP_055219135.1,CM136057.1
Gorilla_gorilla_gorilla,RORA,refseq,XP_055219135.1,,
Homo_sapiens,RORA,refseq,NP_599023.1,,
Hyaena_hyaena,RORA,refseq,XP_039086523.1,,
Hylobates_pileatus,RORA,miniprot,,Gorilla_gorilla_gorilla__RORA__XP_055219135.1,CM038529.1
Ictidomys_tridecemlineatus,RORA,refseq,XP_077905655.1,,
Jaculus_jaculus,RORA,refseq,XP_045016350.1,,
Lagorchestes_hirsutus,RORA,miniprot,,Puma_concolor__RORA__XP_025774987.1,CM052672.1
Leopardus_geoffroyi,RORA,refseq,XP_045305497.1,,
Macrotis_lagotis,RORA,refseq,XP_074090387.1,,
Martes_flavigula,RORA,miniprot,,Gorilla_gorilla_gorilla__RORA__XP_055219135.1,CM081912.1
Microcebus_murinus,RORA,refseq,XP_020141633.1,,
Mirza_zaza,RORA,miniprot,,Puma_concolor__RORA__XP_025774987.1,CAUYML010033704.1
Myrmecobius_fasciatus,RORA,miniprot,,Puma_concolor__RORA__XP_025774987.1,JAJPUD010002275.1
Nanger_dama,RORA,miniprot,,Puma_concolor__RORA__XP_025774987.1,CAKJTW010000003.1
Nasua_narica,RORA,miniprot,,Gorilla_gorilla_gorilla__RORA__XP_055219135.1,CM052797.1
Nycticebus_coucang,RORA,refseq,XP_053451791.1,,
Ochotona_princeps,RORA,refseq,XP_058521735.1,,
Octodon_degus,RORA,refseq,XP_012369618.2,,
Orycteropus_afer,RORA,refseq,XP_007956468.2,,
Paguma_larvata,RORA,miniprot,,Puma_concolor__RORA__XP_025774987.1,CM057827.1
Pan_troglodytes,RORA,refseq,XP_063651173.1,,
Panthera_pardus,RORA,refseq,XP_019296858.1,,
Phacochoerus_africanus,RORA,refseq,XP_047622157.1,,
Phalanger_gymnotis,RORA,miniprot,,Puma_concolor__RORA__XP_025774987.1,CM053624.1
Pipistrellus_pipistrellus,RORA,miniprot,,Puma_concolor__RORA__XP_025774987.1,CBDBGO020000001.1
Plecturocebus_cupreus,RORA,miniprot,,Gorilla_gorilla_gorilla__RORA__XP_055219135.1,CM080828.1
Pseudocheirus_occidentalis,RORA,miniprot,,Puma_concolor__RORA__XP_025774987.1,CM053598.1
Puma_concolor,RORA,refseq,XP_025774987.1,,
Rattus_norvegicus,RORA,refseq,NP_001414296.1,,
Saccopteryx_bilineata,RORA,refseq,XP_066130932.1,,
Sarcophilus_harrisii,RORA,refseq,XP_031805315.1,,
Sciurus_vulgaris,RORA,refseq,XP_078985463.1,,
Speothos_venaticus,RORA,miniprot,,Pan_troglodytes__RORA__XP_063651173.1,BLYH01035713.1
Suricata_suricatta,RORA,refseq,XP_029808287.1,,
Sylvilagus_floridanus,RORA,miniprot,,Puma_concolor__RORA__XP_025774987.1,OX463239.1
Tapirus_terrestris,RORA,miniprot,,Gorilla_gorilla_gorilla__RORA__XP_055219135.1,CM142107.1
Tragelaphus_eurycerus,RORA,miniprot,,Puma_concolor__RORA__XP_025774987.1,CM080731.1
Uromys_caudimaculatus,RORA,miniprot,,Puma_concolor__RORA__XP_025774987.1,CM052706.1
Vicugna_pacos,RORA,refseq,XP_072818408.1,,
Xerus_rutilus,RORA,miniprot,,Gorilla_gorilla_gorilla__RORA__XP_055219135.1,CM053401.1
Acinonyx_jubatus,RORB,refseq,XP_026896833.1,,
Acomys_cahirinus,RORB,miniprot,,Rhynchocyon_petersi__RORB__KAM6170354.1,JAULSH010000017.1
Aepyceros_melampus,RORB,miniprot,,Puma_concolor__RORB__XP_025787392.1,SJXQ01000471.1
Aotus_nancymaae,RORB,refseq,XP_064217713.1,,
Arvicanthis_niloticus,RORB,refseq,XP_034355224.1,,
Bos_taurus,RORB,refseq,NP_001179587.1,,
Callithrix_jacchus,RORB,refseq,XP_078205101.1,,
Camelus_bactrianus,RORB,refseq,XP_010951067.2,,
Caracal_caracal,RORB,miniprot,,Callithrix_jacchus__RORB__XP_078205101.1,JACGTZ010000458.1
Cebus_imitator,RORB,refseq,XP_037599663.1,,
Choloepus_hoffmanni,RORB,miniprot,,Callithrix_jacchus__RORB__XP_078205101.1,KN193212.1
Cynocephalus_volans,RORB,refseq,XP_062936476.1,,
Cynomys_ludovicianus,RORB,miniprot,,Callithrix_jacchus__RORB__XP_078205101.1,JACVBZ010001807.1
Dasypus_novemcinctus,RORB,refseq,XP_058157648.1,,
Daubentonia_madagascariensis,RORB,miniprot,,Callithrix_jacchus__RORB__XP_078205101.1,JBFSEQ010000003.1
Eira_barbara,RORB,miniprot,,Callithrix_jacchus__RORB__XP_078205101.1,JAHRIH010000081.1
Equus_caballus,RORB,refseq,XP_014590898.1,,
Giraffa_tippelskirchi,RORB,miniprot,,Callithrix_jacchus__RORB__XP_078205101.1,CM136051.1
Gorilla_gorilla_gorilla,RORB,refseq,XP_004048182.3,,
Homo_sapiens,RORB,refseq,NP_008845.2,,
Hyaena_hyaena,RORB,refseq,XP_039079074.1,,
Hylobates_pileatus,RORB,miniprot,,Callithrix_jacchus__RORB__XP_078205101.1,CM038526.1
Ictidomys_tridecemlineatus,RORB,refseq,XP_005324165.1,,
Jaculus_jaculus,RORB,refseq,XP_004653160.1,,
Lagorchestes_hirsutus,RORB,miniprot,,Macrotis_lagotis__RORB__XP_074064647.1,CM052676.1
Leopardus_geoffroyi,RORB,refseq,XP_045326211.1,,
Macrotis_lagotis,RORB,refseq,XP_074064647.1,,
Martes_flavigula,RORB,miniprot,,Callithrix_jacchus__RORB__XP_078205101.1,CM081917.1
Microcebus_murinus,RORB,refseq,XP_075864741.1,,
Mirza_zaza,RORB,miniprot,,Microcebus_murinus__RORB__XP_075864741.1,CAUYML010104582.1
Myrmecobius_fasciatus,RORB,miniprot,,Macrotis_lagotis__RORB__XP_074064647.1,JAJPUD010000754.1
Nanger_dama,RORB,miniprot,,Callithrix_jacchus__RORB__XP_078205101.1,CAKJTW010000017.1
Nasua_narica,RORB,miniprot,,Callithrix_jacchus__RORB__XP_078205101.1,CM052813.1
Nycticebus_coucang,RORB,refseq,XP_053432425.1,,
Ochotona_princeps,RORB,refseq,XP_004591830.2,,
Octodon_degus,RORB,refseq,XP_023578763.1,,
Orycteropus_afer,RORB,refseq,XP_042636529.1,,
Paguma_larvata,RORB,miniprot,,Callithrix_jacchus__RORB__XP_078205101.1,CM057832.1
Pan_troglodytes,RORB,refseq,XP_001144112.3,,
Panthera_pardus,RORB,refseq,XP_019319142.1,,
Peromyscus_eremicus,RORB,refseq,XP_059103677.1,,
Phacochoerus_africanus,RORB,refseq,XP_047623734.1,,
Phalanger_gymnotis,RORB,miniprot,,Orycteropus_afer__RORB__XP_042636529.1,CM053622.1
Pipistrellus_pipistrellus,RORB,miniprot,,Callithrix_jacchus__RORB__XP_078205101.1,CBDBGO020000011.1
Plecturocebus_cupreus,RORB,miniprot,,Callithrix_jacchus__RORB__XP_078205101.1,CM080826.1
Pseudocheirus_occidentalis,RORB,miniprot,,Puma_concolor__RORB__XP_025787392.1,CM053599.1
Puma_concolor,RORB,refseq,XP_025787392.1,,
Rattus_norvegicus,RORB,refseq,NP_001257887.1,,
Rhynchocyon_petersi,RORB,refseq,KAM6170354.1,,
Saccopteryx_bilineata,RORB,refseq,XP_066113178.1,,
Sarcophilus_harrisii,RORB,refseq,XP_031795413.1,,
Sciurus_vulgaris,RORB,refseq,XP_078968226.1,,
Speothos_venaticus,RORB,miniprot,,Puma_concolor__RORB__XP_025787392.1,BLYH01001204.1
Suricata_suricatta,RORB,refseq,XP_029776174.1,,
Sylvilagus_floridanus,RORB,miniprot,,Microcebus_murinus__RORB__XP_075864741.1,OX463243.1
Tapirus_terrestris,RORB,miniprot,,Callithrix_jacchus__RORB__XP_078205101.1,CM142125.1
Tragelaphus_eurycerus,RORB,miniprot,,Callithrix_jacchus__RORB__XP_078205101.1,CM080733.1
Uromys_caudimaculatus,RORB,miniprot,,Arvicanthis_niloticus__RORB__XP_034355224.1,CM052703.1
Vicugna_pacos,RORB,refseq,XP_072815700.1,,
Xerus_rutilus,RORB,miniprot,,Callithrix_jacchus__RORB__XP_078205101.1,CM053399.1
Acinonyx_jubatus,RORC,refseq,XP_053070792.1,,
